"persoonuuid";"naam";"wikidata"
"b28430c8-2746-11e3-9aac-3cd92befe4f8";"Snakenburg, Hendrik";"http://www.wikidata.org/entity/Q4942587"
"b28f415c-2746-11e3-94ac-3cd92befe4f8";"Wit, Frans de";"http://www.wikidata.org/entity/Q4845184"
"b288a7fc-2746-11e3-a169-3cd92befe4f8";"Thysius, Johannes";"http://www.wikidata.org/entity/Q4843509"
"b283761a-2746-11e3-9bb1-3cd92befe4f8";"Dirk III, graaf van Holland";"http://www.wikidata.org/entity/Q471758"
"b28325f2-2746-11e3-8e74-3cd92befe4f8";"Floris I, graaf van Holland";"http://www.wikidata.org/entity/Q469671"
"b2866802-2746-11e3-abf4-3cd92befe4f8";"Heereboord, Adrianus";"http://www.wikidata.org/entity/Q4684778"
"b28b52e0-2746-11e3-a1c5-3cd92befe4f8";"Margaretha, Gravin van Holland";"http://www.wikidata.org/entity/Q467019"
"b28719be-2746-11e3-965a-3cd92befe4f8";"Beieren, Jacoba van";"http://www.wikidata.org/entity/Q467007"
"b28e5094-2746-11e3-9897-3cd92befe4f8";"Marck, Willem van der";"http://www.wikidata.org/entity/Q448016"
"b287439e-2746-11e3-9159-3cd92befe4f8";"Davidson";"http://www.wikidata.org/entity/Q445835"
"b28fdd42-2746-11e3-9b03-3cd92befe4f8";"Dodonaeus, R.";"http://www.wikidata.org/entity/Q437466"
"b28364c2-2746-11e3-b058-3cd92befe4f8";"Schultz van Haegen, Melanie";"http://www.wikidata.org/entity/Q435886"
"b28b7a7c-2746-11e3-bf63-3cd92befe4f8";"Schultens, J.J.";"http://www.wikidata.org/entity/Q4355142"
"b28ffcbe-2746-11e3-aee6-3cd92befe4f8";"Erasmus, D.";"http://www.wikidata.org/entity/Q43499"
"b28d50f4-2746-11e3-9961-3cd92befe4f8";"Manceau, Lucien Louis";"http://www.wikidata.org/entity/Q43133806"
"b289607a-2746-11e3-b8cb-3cd92befe4f8";"Lievens, J.";"http://www.wikidata.org/entity/Q430783"
"b2833ef2-2746-11e3-9c87-3cd92befe4f8";"Idenburg, Petrus Johannes";"http://www.wikidata.org/entity/Q42750929"
"b288020c-2746-11e3-beee-3cd92befe4f8";"Lorentz, H.A.";"http://www.wikidata.org/entity/Q41688"
"b28f39fa-2746-11e3-b357-3cd92befe4f8";"Rudolph, Roelof Jan Willem";"http://www.wikidata.org/entity/Q4026596"
"b28b7ee6-2746-11e3-9fd4-3cd92befe4f8";"Willigen, mr. G.C. van der";"http://www.wikidata.org/entity/Q3945960"
"b2846188-2746-11e3-a445-3cd92befe4f8";"Schrevelius, Cornelis";"http://www.wikidata.org/entity/Q377100"
"b282807a-2746-11e3-83e1-3cd92befe4f8";"Devilee, dhr.";"http://www.wikidata.org/entity/Q37361664"
"b2861582-2746-11e3-9bde-3cd92befe4f8";"Boisot, L.";"http://www.wikidata.org/entity/Q358905"
"b2840e7c-2746-11e3-83e9-3cd92befe4f8";"Spinoza, B.";"http://www.wikidata.org/entity/Q35802"
"b2910550-2746-11e3-9319-3cd92befe4f8";"Spinoza, B. de";"http://www.wikidata.org/entity/Q35802"
"b2823fac-2746-11e3-aab6-3cd92befe4f8";"Borsselen, Vranck van";"http://www.wikidata.org/entity/Q351161"
"b28be926-2746-11e3-9702-3cd92befe4f8";"Rau, Sebald Fulco Johannes";"http://www.wikidata.org/entity/Q3476845"
"b28c49a2-2746-11e3-873c-3cd92befe4f8";"Philips II";"http://www.wikidata.org/entity/Q34417"
"b28c26ac-2746-11e3-aec3-3cd92befe4f8";"Witsius, Hermannus";"http://www.wikidata.org/entity/Q339211"
"b28e4f18-2746-11e3-83f6-3cd92befe4f8";"Marron, Paul Henri";"http://www.wikidata.org/entity/Q3370303"
"b28f6808-2746-11e3-8108-3cd92befe4f8";"Clusius, Carolus";"http://www.wikidata.org/entity/Q333372"
"b28609a2-2746-11e3-9b14-3cd92befe4f8";"Fries, graaf van Vlaanderen Robrecht de";"http://www.wikidata.org/entity/Q333346"
"b2854828-2746-11e3-8d0a-3cd92befe4f8";"Kuenen, A.";"http://www.wikidata.org/entity/Q330188"
"b28ca776-2746-11e3-ab4e-3cd92befe4f8";"Stutterheim, prof.dr.C.F.P.";"http://www.wikidata.org/entity/Q3248130"
"b28ad874-2746-11e3-9955-3cd92befe4f8";"Leyden, L. van";"http://www.wikidata.org/entity/Q320980"
"b28e2bd2-2746-11e3-9810-3cd92befe4f8";"Leyden, A. van";"http://www.wikidata.org/entity/Q320980"
"b28ca2f8-2746-11e3-a40e-3cd92befe4f8";"Zoetemelk, Joop";"http://www.wikidata.org/entity/Q320010"
"b28b1c62-2746-11e3-ba7f-3cd92befe4f8";"Sylvius, Franciscus de le Boë";"http://www.wikidata.org/entity/Q316996"
"b28a8838-2746-11e3-b230-3cd92befe4f8";"Temminck, C.J.";"http://www.wikidata.org/entity/Q31621"
